accountName,TemplateSafe,CPMUser,safe,Folder,password,DeviceType,platformID,address,username,disableAutoMgmt,Type,VTY,ExtraPass1Name,ExtraPass1Safe,ExtraPass1Folder,ExtraPass2Name,ExtraPass2Safe,ExtraPass2Folder,ExtraPass3Name,ExtraPass3Safe,ExtraPass3Folder,Location,OwnerName,MasterPassName,MasterPassFolder,GroupName,ServiceName,RestartService,CPMDisabled,ResetImmediately,DSN,ClientDN,ServerDN,TaskName,VZLocation,VZFunction,VZOwner,VZStatus,Port
cyberark1@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,,Generic Logon account,,,
cyberark2@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,2,,,,,,,,,,,,,,,,,,,,,,,,,Account that has restricted login,,,
cyberark3@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,3,,,,,,,,,,,,,,,,,,,,,,,,,Group Definition,,,
cyberark4@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,4,,,,,,,,,,,,,,,cyberark@clustername,,,,,,,,,,Demonstrate Cluster,,,
cyberark5@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,5,,,,,,,,,,,,,,,cyberark@clustername,,,,,,,,,,Demonstrate Cluster,,,
cyberark6@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,6,,,,,,,,,,,,,,,cyberark@clustername,,,,,,,,,,Demonstrate Cluster,,,
cyberark7@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyberark8@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyberark9@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyberark10@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyberark11@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyberark12@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyberark13@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyberark14@server1.sss.gibberish.com,,,CF-API-TestSafe,Root,Test123345kjsff,Operating System,RHLinuxSSH_Auto,10.1.2.3,cyberark    ,TRUE,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
